generation,rank,Scatter,Publish,Queues
1,98,1.1051411491353065,1.2199820377863944,0.1146785728633403
2,98,0.8984702930320054,1.0152771270368248,0.1166303961072117
3,98,0.8879567049443722,1.0406091390177608,0.1525057440157979
4,98,0.9771979788783938,1.1142281158827243,0.1369411579798907
5,98,0.9911690978333354,1.1249707660172137,0.1337399422191083
6,98,0.8591031969990581,0.9766454531345516,0.1174007463268935
7,98,0.9046971970237792,1.0208491261582822,0.1160607943311333
8,98,0.8632227671332657,0.9799914699979126,0.1167072940152138
9,98,0.9705926850438118,1.0864714020863175,0.1158175871241837
0,120,0.8647327842190862,0.9808393511921168,0.1158370627090334
1,120,0.9974444061517715,1.0813481146469712,0.0837400266900658
2,120,1.1591038648039105,1.286395227536559,0.1271226406097412
3,120,0.8508709594607353,0.9665885949507356,0.1155518554151058
4,120,0.7123769130557775,0.8366805240511894,0.124228379689157
5,120,1.2273889193311334,1.3771749082952738,0.1496450416743755
6,120,0.8489011116325855,0.976047670468688,0.1270404420793056
7,120,0.7561341319233179,0.847857940942049,0.0916593372821807
8,120,0.8589969696477056,0.9749009674414992,0.1157150892540812
9,120,0.7077509267255664,0.8262042570859194,0.1183666102588176
0,61,0.9449244076386094,1.050169164314866,0.1049961159005761
1,61,1.018029036000371,1.1238803509622812,0.1057624910026788
2,61,0.9306809399276972,1.0412993663921952,0.1104457871988415
3,61,0.7763034775853157,0.8803374832496047,0.1038683075457811
4,61,0.859492851421237,0.9735834030434488,0.1140237478539347
5,61,0.9448072919622064,1.0739528173580766,0.1289978176355362
6,61,0.6994071351364255,0.8044286500662565,0.1049303729087114
7,61,0.8547884589061141,0.9652137281373144,0.1103622829541564
8,61,0.8524925950914621,0.957403015345335,0.1047647409141063
9,61,0.8302602730691433,0.936262460425496,0.1059366865083575
0,13,1.6342196210753173,1.7442499429453164,0.1097650360316038
1,13,1.6838879010174423,1.7992762010544538,0.1152155213057994
2,13,1.7818977711722257,1.8193394509144127,0.0372792459093034
3,13,1.6033439978491515,1.6478929240256548,0.044460330158472
4,13,1.5968200040515512,1.7156166511122135,0.1186569388955831
5,13,1.7300314151216298,1.760721947066486,0.0306015720125287
6,13,1.5575687419623137,1.6603662089910358,0.1027314797975122
7,13,1.5922595299780369,1.715220564045012,0.1228186790831387
8,13,1.598664812045172,1.708796437131241,0.1100441880989819
9,13,1.5382459938991817,1.5923898729961363,0.0540757600683718
0,116,0.8812771961092949,0.9929311256855726,0.1113971616141498
1,116,0.9606527630239724,1.068734967149794,0.1079952591098845
2,116,0.7107265829108655,0.8260715981014073,0.1151893180795013
3,116,0.9677596790716052,1.0767904710955918,0.1088657951913774
4,116,0.973853622097522,1.0909600919112563,0.1170396949164569
5,116,0.7385666621848941,0.8707111519761384,0.1320076081901788
6,116,0.6930389543995261,0.7970218588598073,0.1039004558697342
7,116,0.8780333241447806,0.9095029048621656,0.0313913938589394
8,116,0.9955041399225592,1.1042114249430597,0.1085716779343783
9,116,0.953781760763377,1.062342925928533,0.1084732459858059
0,31,0.9573718467727304,1.070369643159211,0.1127311522141099
1,31,1.1277733221650124,1.2484642583876848,0.1205215957015752
2,31,0.9761895537376404,1.0971345212310553,0.1207819934934377
3,31,0.8006274057552218,0.852033025585115,0.0512632606551051
4,31,0.9657072285190224,1.091398055665195,0.1255942685529589
5,31,0.9808884989470243,1.1104303542524576,0.1294736312702298
6,31,0.7933889841660857,0.894814389757812,0.1012607868760824
7,31,0.8299320880323648,0.948969124816358,0.1189464181661605
8,31,0.905680987983942,0.9432385293766856,0.0374930128455162
9,31,0.9624817930161952,1.0181450452655554,0.0555969215929508
0,11,1.395662672817707,1.5036522122099996,0.1077267993241548
1,11,1.3008974781259894,1.4095443887636063,0.1084804022684693
2,11,1.343762579374015,1.465117865242064,0.1211874037981033
3,11,1.3383610704913735,1.387688087299466,0.0492410268634557
4,11,1.3350077383220196,1.4498520167544484,0.1146703856065869
5,11,1.2564331693574786,1.2925958186388016,0.0360976355150342
6,11,1.3458289066329598,1.4578557116910815,0.1118741519749164
7,11,1.3391745081171391,1.4538424937054517,0.1145774219185113
8,11,1.3324798103421926,1.443097130395472,0.1105528799816966
9,11,1.348811535164714,1.456428011879325,0.1074635488912463
0,89,1.8236188255250456,1.9328644098713992,0.1089799106121063
1,89,1.8427980234846473,1.9628974590450523,0.1199319930747151
2,89,1.832953417673707,1.951712149195373,0.1185904163867235
3,89,1.7237523877993226,1.8321603368967772,0.1082614427432417
4,89,1.7907507102936506,1.9067727159708736,0.1159325763583183
5,89,2.0124865230172873,2.152227488346398,0.1395939728245139
6,89,1.741945895366371,1.8640835219994187,0.1220456110313534
7,89,1.791423155926168,1.928115748800337,0.1366258841007948
8,89,1.7210546899586916,1.8350661490112543,0.1139469733461737
9,89,1.7333039799705148,1.848430554382503,0.1150582702830433
0,71,1.5355148511007428,1.6567188538610935,0.1209296267479658
1,71,1.6449394756928086,1.7645424166694283,0.1194352963939309
2,71,1.5433497373014688,1.6641349559649825,0.120643732137978
3,71,1.482379131950438,1.5949768107384443,0.1125070368871092
4,71,1.579086340032518,1.6977688381448388,0.1185355884954333
5,71,1.5600668611004949,1.699755085632205,0.1395983751863241
6,71,1.1313067572191358,1.1742200246080756,0.04284692928195
7,71,1.5714955404400826,1.6975723644718528,0.1259318822994828
8,71,1.04578323289752,1.1621419992297888,0.1162691470235586
9,71,1.275598212145269,1.3334140749648211,0.0577486352995038
0,106,0.9165769638493656,1.0311450585722923,0.1142945773899555
1,106,0.8292104387655854,0.9469157559797168,0.1175379194319248
2,106,1.411298179998994,1.5269086714833977,0.1155117256566882
3,106,0.8794355252757668,0.9871878419071436,0.1075793262571096
4,106,0.9857653826475145,1.1152892392128706,0.1294633215293288
5,106,1.2237257361412048,1.3637282336130738,0.1398613341152668
6,106,1.0191253554075956,1.1375546026974916,0.1183387069031596
7,106,0.8400091538205743,0.9547157818451524,0.1146453563123941
8,106,1.78249557223171,1.8965438483282924,0.1139076482504606
9,106,0.9486596621572972,1.0649163676425817,0.116170572116971
0,22,1.410422228043899,1.5213458749931306,0.1106697698123753
1,22,1.3225927390158176,1.433254444040358,0.1104959791991859
2,22,1.6047866349108515,1.713692668126896,0.1087647909298539
3,22,1.374469880014658,1.4250561210792512,0.0504980890545994
4,22,1.244544291170314,1.359326901845634,0.11462212796323
5,22,1.3651542870793492,1.491313082864508,0.1260963040404021
6,22,1.3159409929066896,1.4167049119714648,0.1006227100733667
7,22,1.2855624880176038,1.3955267989076674,0.1098750228993594
8,22,1.256619042949751,1.287546441890299,0.0308666820637881
9,22,1.2362330991309136,1.2870006549637765,0.0507067958824336
0,100,0.9174738759174944,1.0312884021550417,0.1135576502420008
1,100,1.1337133198976517,1.266042130999267,0.1321567581035196
2,100,0.8388925571925938,0.9498824141919612,0.1108207264915108
3,100,0.816308528650552,0.913745782803744,0.0972955366596579
4,100,0.8623321671038866,0.99058484332636,0.128166195936501
